ASE;2012;Hong;Mei;;Program Board
ASE;2012;Alessandro;Orso;Male;Program Board
ASE;2012;Corina;Pasareanu;Female;Program Board
ASE;2012;Douglas;Smith;Male;Program Board
ASE;2012;Virginie;Wiels;Female;Program Board
ASE;2012;Andrea;Zisman;Female;Program Board
ASE;2012;David;Aspinall;Male;Demo Track Program Committee
ASE;2012;Gilles;Barthe;Male;Demo Track Program Committee
ASE;2012;Anthony;Cleve;Male;Demo Track Program Committee
ASE;2012;Rohit;Gheyi;Male;Demo Track Program Committee
ASE;2012;Christoph;Gladisch;Male;Demo Track Program Committee
ASE;2012;Paul;Gruenbacher;Male;Demo Track Program Committee
ASE;2012;Robert;Hall;Male;Demo Track Program Committee
ASE;2012;Reiko;Heckel;;Demo Track Program Committee
ASE;2012;John;Hosking;Male;Demo Track Program Committee
ASE;2012;Andrew;Ireland;Male;Demo Track Program Committee
ASE;2012;Anjali;Joshi;;Demo Track Program Committee
ASE;2012;Jens;Krinke;Male;Demo Track Program Committee
ASE;2012;Julia;Lawall;Female;Demo Track Program Committee
ASE;2012;Michael;Lowry;Male;Demo Track Program Committee
ASE;2012;John;Penix;Male;Demo Track Program Committee
ASE;2012;Suresh;Thummalapenta;Male;Demo Track Program Committee
ASE;2012;Daniel;Varro;Male;Demo Track Program Committee
ASE;2012;Michael;Whalen;Male;Demo Track Program Committee
ASE;2012;Andrea;Zisman;Female;Demo Track Program Committee
ASE;2012;Ivar;Jacobson;Male;Keynote Speaker
ASE;2012;Mark;Harman;Male;Keynote Speaker
ASE;2013;Ewen;Denney;Male;General Chair
ASE;2013;Tevfik;Bultan;;Program Chair
ASE;2013;Andreas;Zeller;Male;Program Chair
ASE;2013;Marcelo;d'Amorim;Male;Satellite Events Chair
ASE;2013;David;Lo;Male;Satellite Events Chair
ASE;2013;Andrew;Ireland;Male;Demo Track Chair
ASE;2013;Neha;Rungta;;Demo Track Chair
ASE;2013;Paul;Gruenbacher;Male;Doctoral Symposium Chair
ASE;2013;Marsha;Chechik;Female;Doctoral Symposium Chair
ASE;2013;Ganesh;Pai;Male;Finance Chair
ASE;2013;Ganesh;Pai;Male;Local Committee
ASE;2013;Ganesh;Pai;Male;Web Chair
ASE;2013;Christoph;Gladisch;Male;Publicity Chair
ASE;2013;Tien;Nguyen;Male;Social Media Chair
ASE;2013;Sarah;Thompson;Male;Web Chair
ASE;2013;Reid;Holmes;;Mobile Chair
ASE;2013;Ronnie;Phillips;;Student Volunteers Chair
ASE;2013;Andrew;Begel;Male;Program Committee
ASE;2013;Myra;Cohen;Female;Program Committee
ASE;2013;Danny;Dig;Male;Program Committee
ASE;2013;Bernd;Fischer;Male;Program Committee
ASE;2013;Gordon;Fraser;Male;Program Committee
ASE;2013;Harald;Gall;Male;Program Committee
